title,genres
Ringmaster,['Comedy']
Very Bad Things,"['Comedy', 'Crime', 'Thriller']"
Psycho,"['Horror', 'Mystery', 'Thriller']"
Little Voice,"['Comedy', 'Drama']"
A Simple Plan,"['Drama', 'Crime', 'Thriller']"
Jack Frost,"['Comedy', 'Family', 'Drama', 'Fantasy']"
Star Trek: Insurrection,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
The Prince of Egypt,"['Adventure', 'Animation', 'Drama', 'Family', 'Music']"
Rushmore,"['Comedy', 'Drama']"
Shakespeare in Love,"['Romance', 'History']"
Miracle on 34th Street,"['Drama', 'Family']"
Santa Claus: The Movie,"['Family', 'Fantasy', 'Adventure', 'Science Fiction', 'Comedy']"
Prancer,"['Drama', 'Family', 'Fantasy']"
Pale Rider,"['Romance', 'Western']"
Rambo: First Blood Part II,"['Action', 'Adventure', 'Thriller', 'War']"
First Blood,"['Action', 'Adventure', 'Thriller', 'War']"
Rambo III,"['Action', 'Adventure', 'Thriller', 'War']"
The Jewel of the Nile,"['Action', 'Adventure', 'Comedy', 'Romance']"
Romancing the Stone,"['Action', 'Adventure', 'Comedy', 'Romance']"
Cocoon,"['Comedy', 'Drama', 'Science Fiction']"
Cocoon: The Return,"['Comedy', 'Drama', 'Science Fiction']"
Rocky II,['Drama']
Rocky III,['Drama']
Rocky IV,['Drama']
Rocky V,['Drama']
Clue,"['Comedy', 'Thriller', 'Crime', 'Mystery']"
Young Sherlock Holmes,"['Action', 'Adventure', 'Crime', 'Drama', 'Family', 'Mystery', 'Thriller']"
Back to School,['Comedy']
Heartburn,"['Comedy', 'Drama', 'Romance']"
Nothing in Common,"['Drama', 'Comedy', 'Romance']"
Extremities,"['Drama', 'Thriller']"
The Karate Kid,['Drama']
"The Karate Kid, Part II","['Adventure', 'Drama', 'Action', 'Romance', 'Family']"
"The Karate Kid, Part III","['Family', 'Adventure']"
National Lampoon's Christmas Vacation,['Comedy']
You've Got Mail,"['Comedy', 'Romance']"
The General,"['Drama', 'Action', 'Crime']"
The Theory of Flight,['Drama']
The Thin Red Line,"['Drama', 'History', 'War']"
The Faculty,"['Horror', 'Mystery', 'Science Fiction']"
Mighty Joe Young,"['Action', 'Adventure', 'Family', 'Fantasy']"
Mighty Joe Young,"['Adventure', 'Fantasy', 'Drama', 'Action', 'Science Fiction']"
Patch Adams,"['Comedy', 'Drama']"
Stepmom,"['Drama', 'Romance']"
A Civil Action,['Drama']
Hurlyburly,"['Comedy', 'Drama']"
Tea with Mussolini,"['Comedy', 'Drama', 'War']"
Wilde,"['Drama', 'History']"
Outside Ozona,"['Thriller', 'Comedy', 'Drama', 'Romance']"
Affliction,['Drama']
Another Day in Paradise,"['Thriller', 'Crime', 'Drama']"
The Hi-Lo Country,"['Drama', 'Action', 'Western', 'Romance']"
Hilary and Jackie,"['Music', 'Drama']"
Playing by Heart,['Drama']
24 7: Twenty Four Seven,"['Comedy', 'Drama', 'Romance']"
At First Sight,"['Drama', 'Romance']"
In Dreams,"['Drama', 'Thriller']"
Varsity Blues,"['Comedy', 'Drama', 'Romance']"
Virus,"['Horror', 'Action', 'Science Fiction']"
The Garbage Pail Kids Movie,"['Adventure', 'Science Fiction', 'Comedy']"
Howard the Duck,"['Comedy', 'Fantasy', 'Science Fiction']"
The Gate,"['Horror', 'Fantasy']"
The Gate II: Trespassers,['Horror']
The Boy Who Could Fly,"['Drama', 'Family', 'Fantasy', 'Science Fiction']"
The Fly,"['Drama', 'Horror', 'Science Fiction']"
The Fly,"['Horror', 'Science Fiction']"
The Fly II,"['Horror', 'Science Fiction', 'Thriller']"
Running Scared,"['Thriller', 'Action', 'Comedy', 'Crime']"
Armed and Dangerous,"['Action', 'Comedy', 'Crime']"
The Texas Chain Saw Massacre,['Horror']
The Texas Chainsaw Massacre 2,['Horror']
Leatherface: Texas Chainsaw Massacre III,"['Horror', 'Thriller']"
Texas Chainsaw Massacre: The Next Generation,"['Horror', 'Comedy', 'Thriller']"
Ruthless People,['Comedy']
Trick or Treat,"['Horror', 'Music']"
Deadly Friend,"['Horror', 'Science Fiction']"
Belizaire the Cajun,"['Romance', 'Drama', 'History']"
The Name of the Rose,"['Drama', 'Thriller', 'Mystery']"
Jumpin' Jack Flash,"['Romance', 'Comedy', 'Thriller']"
Peggy Sue Got Married,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Crocodile Dundee,"['Adventure', 'Comedy']"
Crocodile Dundee II,"['Adventure', 'Comedy']"
Tough Guys,"['Comedy', 'Crime']"
The Color of Money,['Drama']
52 Pick-Up,"['Crime', 'Drama', 'Thriller']"
Heartbreak Ridge,"['Action', 'Comedy', 'Drama', 'War']"
Firewalker,"['Action', 'Adventure', 'Comedy']"
??Three Amigos!,"['Comedy', 'Western']"
Gloria,"['Drama', 'Action', 'Thriller', 'Crime']"
My Name Is Joe,"['Drama', 'Romance']"
Still Crazy,"['Comedy', 'Music']"
The Day of the Beast,"['Action', 'Comedy', 'Horror', 'Crime']"
She's All That,"['Comedy', 'Romance']"
The 24 Hour Woman,"['Comedy', 'Romance']"
Peeping Tom,"['Horror', 'Thriller']"
Payback,"['Drama', 'Action', 'Thriller', 'Crime']"
Simply Irresistible,['Comedy']
20 Dates,"['Romance', 'Comedy']"
Comedian Harmonists,"['Music', 'Drama']"
The Last Days,"['Documentary', 'Drama', 'History', 'War']"
Fantastic Planet,"['Animation', 'Fantasy', 'Science Fiction']"
Blast from the Past,"['Comedy', 'Romance']"
Message in a Bottle,"['Romance', 'Drama']"
My Favorite Martian,"['Comedy', 'Drama', 'Family', 'Science Fiction']"
Jawbreaker,['Comedy']
October Sky,"['Drama', 'Family']"
Office Space,"['Comedy', 'Crime']"
200 Cigarettes,"['Comedy', 'Drama', 'Romance']"
8MM,"['Thriller', 'Crime', 'Mystery']"
The Other Sister,"['Comedy', 'Drama', 'Romance']"
Breakfast of Champions,['Comedy']
Eight Days a Week,"['Comedy', 'Drama', 'Romance']"
Just the Ticket,"['Comedy', 'Romance']"
The Long Goodbye,"['Thriller', 'Crime', 'Drama', 'Mystery']"
The Ballad of Narayama,['Drama']
Pet Sematary,"['Drama', 'Horror']"
Pet Sematary II,['Horror']
Children of the Corn II: The Final Sacrifice,['Horror']
Children of the Corn III: Urban Harvest,"['Thriller', 'Horror']"
Christine,['Horror']
Night Shift,['Comedy']
House on Haunted Hill,"['Drama', 'Horror', 'Thriller']"
Airport,"['Action', 'Drama', 'Thriller']"
Airport 1975,"['Action', 'Adventure', 'Drama', 'Thriller']"
Airport '77,"['Action', 'Adventure', 'Drama', 'Thriller']"
Rollercoaster,"['Action', 'Thriller']"
The Towering Inferno,"['Action', 'Thriller']"
Alligator,"['Horror', 'Science Fiction', 'Thriller']"
Meteor,"['Action', 'Science Fiction', 'Thriller']"
Westworld,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction', 'Thriller', 'Western']"
Logan's Run,"['Adventure', 'Action', 'Romance', 'Science Fiction']"
Planet of the Apes,"['Science Fiction', 'Adventure', 'Drama', 'Action']"
Beneath the Planet of the Apes,"['Adventure', 'Science Fiction', 'Mystery']"
Battle for the Planet of the Apes,"['Action', 'Science Fiction']"
Conquest of the Planet of the Apes,"['Action', 'Science Fiction']"
Escape from the Planet of the Apes,"['Action', 'Science Fiction']"
Avalanche,"['Action', 'Adventure', 'Drama']"
Earthquake,"['Action', 'Drama', 'Thriller']"
The Concorde... Airport '79,"['Action', 'Drama', 'Thriller']"
Beyond the Poseidon Adventure,"['Action', 'Adventure', 'Drama']"
Analyze This,"['Comedy', 'Crime']"
The Corruptor,"['Action', 'Crime', 'Mystery', 'Thriller']"
Cruel Intentions,"['Drama', 'Romance', 'Thriller']"
"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']"
Six Ways to Sunday,['Comedy']
The School of Flesh,"['Romance', 'Drama', 'Mystery']"
The Deep End of the Ocean,"['Drama', 'Mystery']"
The Rage: Carrie 2,"['Horror', 'Thriller', 'Science Fiction']"
Wing Commander,"['Action', 'Science Fiction']"
The Haunting,"['Mystery', 'Horror', 'Thriller']"
Dead Ringers,"['Drama', 'Horror', 'Thriller']"
My Boyfriend's Back,"['Comedy', 'Romance']"
Village of the Damned,"['Horror', 'Science Fiction']"
Children of the Damned,"['Science Fiction', 'Thriller']"
Baby Geniuses,"['Science Fiction', 'Comedy', 'Family']"
I Stand Alone,"['Drama', 'Thriller']"
Forces of Nature,"['Romance', 'Comedy']"
The King and I,"['Animation', 'Drama', 'Family']"
Ravenous,"['Comedy', 'Horror', 'Thriller', 'Western']"
True Crime,"['Crime', 'Drama']"
Bandits,"['Action', 'Drama', 'Foreign']"
Dangerous Beauty,"['Drama', 'Romance']"
The King and I,"['Drama', 'Music', 'Romance']"
Doug's 1st Movie,"['Animation', 'Family', 'Comedy']"
Edtv,['Comedy']
The Mod Squad,"['Action', 'Mystery', 'Thriller']"
Among Giants,"['Comedy', 'Romance']"
A Walk on the Moon,"['Drama', 'Romance']"
The Matrix,"['Action', 'Science Fiction']"
10 Things I Hate About You,"['Comedy', 'Romance', 'Drama']"
Tango,"['Drama', 'Foreign', 'Romance']"
The Out-of-Towners,['Comedy']
Metroland,"['Comedy', 'Drama']"
Following,"['Crime', 'Drama', 'Thriller']"
Go,"['Crime', 'Comedy', 'Thriller']"
Never Been Kissed,"['Romance', 'Comedy', 'Drama']"
Twin Dragons,"['Comedy', 'Action']"
Cookie's Fortune,"['Comedy', 'Drama', 'Thriller']"
Foolish,"['Comedy', 'Drama']"
Lovers of the Arctic Circle,"['Drama', 'Mystery', 'Romance']"
Goodbye Lover,"['Thriller', 'Comedy', 'Crime', 'Mystery']"
Life,"['Comedy', 'Crime']"
Friends & Lovers,"['Comedy', 'Romance', 'Drama']"
Hideous Kinky,"['Romance', 'Drama']"
The Monster,['Comedy']
Open Your Eyes,"['Drama', 'Thriller']"
Photographer,"['TV Movie', 'History', 'Documentary', 'War']"
SLC Punk,"['Crime', 'Romance', 'Comedy', 'Drama', 'Music']"
Lost & Found,"['Comedy', 'Romance']"
Pushing Tin,"['Comedy', 'Drama']"
Election,['Comedy']
eXistenZ,"['Action', 'Thriller', 'Science Fiction', 'Horror']"
The Mighty Peking Man,"['Science Fiction', 'Action', 'Fantasy']"
Entrapment,"['Romance', 'Drama', 'Mystery']"
Idle Hands,"['Thriller', 'Comedy', 'Horror']"
Heaven,"['Crime', 'Thriller']"
The King of Masks,['Drama']
Three Seasons,"['Drama', 'Foreign']"
The Winslow Boy,['Drama']
Mildred Pierce,"['Crime', 'Drama']"
Night of the Comet,"['Comedy', 'Horror', 'Science Fiction']"
Chopping Mall,"['Horror', 'Science Fiction']"
My Science Project,"['Comedy', 'Family', 'Fantasy', 'Science Fiction']"
Dick Tracy,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
The Mummy,"['Adventure', 'Action', 'Fantasy']"
The Castle,"['Drama', 'Comedy']"
This Is My Father,"['Drama', 'Romance']"
A Midsummer Night's Dream,"['Fantasy', 'Drama', 'Comedy', 'Romance']"
Trippin',"['Comedy', 'Romance']"
After Life,"['Fantasy', 'Drama']"
Black Mask,['Action']
Edge of Seventeen,"['Comedy', 'Drama', 'Romance']"
Star Wars: Episode I - The Phantom Menace,"['Adventure', 'Action', 'Science Fiction']"
The Love Letter,"['Comedy', 'Drama', 'Romance']"
Besieged,"['Drama', 'Romance']"
Frogs for Snakes,"['Thriller', 'Comedy', 'Crime']"
The Saragossa Manuscript,"['Comedy', 'Drama', 'Fantasy', 'Mystery']"
The Mummy,['Horror']
The Mummy,['Horror']
The Mummy's Curse,['Horror']
The Mummy's Ghost,['Horror']
The Mummy's Hand,['Horror']
The Mummy's Tomb,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
Mommie Dearest,['Drama']
Superman,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Superman II,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Superman III,"['Comedy', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Superman IV: The Quest for Peace,"['Action', 'Adventure', 'Science Fiction']"
Dracula,['Horror']
House of Dracula,"['Horror', 'Science Fiction']"
House of Frankenstein,"['Fantasy', 'Horror', 'Science Fiction', 'Thriller']"
Frankenstein,"['Drama', 'Horror', 'Science Fiction']"
Son of Frankenstein,"['Horror', 'Science Fiction']"
The Ghost of Frankenstein,"['Fantasy', 'Horror', 'Science Fiction']"
Frankenstein Meets the Wolf Man,"['Fantasy', 'Horror', 'Science Fiction']"
The Curse of Frankenstein,"['Horror', 'Science Fiction']"
Son of Dracula,"['Fantasy', 'Horror']"
The Wolf Man,"['Horror', 'Drama']"
Howling II: Stirba - Werewolf Bitch,"['Thriller', 'Horror']"
Tarantula,"['Horror', 'Science Fiction', 'Thriller']"
The Rocky Horror Picture Show,"['Comedy', 'Horror', 'Music', 'Science Fiction']"
The Flying Saucer,"['Thriller', 'Science Fiction']"
It Came from Hollywood,"['Comedy', 'Documentary']"
The Thing from Another World,"['Horror', 'Science Fiction']"
It Came from Outer Space,"['Horror', 'Science Fiction']"
The War of the Worlds,"['Horror', 'Science Fiction', 'Thriller']"
It Came from Beneath the Sea,"['Horror', 'Science Fiction']"
Invasion of the Body Snatchers,"['Horror', 'Science Fiction']"
Earth vs. the Flying Saucers,"['Action', 'Science Fiction']"
It Conquered the World,"['Horror', 'Science Fiction', 'Thriller']"
The Mole People,"['Adventure', 'Fantasy', 'Horror', 'Science Fiction']"
Swamp Thing,"['Horror', 'Science Fiction']"
Pork Chop Hill,"['Action', 'War', 'Drama']"
"Run Silent, Run Deep","['Drama', 'War']"
Notting Hill,"['Romance', 'Comedy', 'Drama']"
The Thirteenth Floor,"['Thriller', 'Science Fiction', 'Mystery']"
Eternity and a Day,['Drama']
The Loss of Sexual Innocence,['Drama']
Twice Upon a Yesterday,"['Comedy', 'Drama', 'Romance']"
Instinct,"['Drama', 'Mystery', 'Thriller']"
Desert Blue,"['Comedy', 'Drama']"
Free Enterprise,"['Comedy', 'Romance']"
Austin Powers: The Spy Who Shagged Me,"['Adventure', 'Comedy', 'Crime', 'Science Fiction']"
Promise Her Anything,"['Comedy', 'Drama', 'Fantasy']"
The Red Violin,"['Drama', 'Thriller', 'Mystery', 'Music', 'Romance']"
Tarzan,"['Adventure', 'Animation', 'Drama', 'Family']"
The General's Daughter,"['Crime', 'Drama', 'Mystery', 'Thriller']"
An Ideal Husband,"['Drama', 'Comedy', 'Romance']"
The Legend of 1900,['Fantasy']
Run Lola Run,"['Action', 'Drama', 'Thriller']"
Big Daddy,"['Comedy', 'Drama']"
The Boys,['Drama']
The Dinner Game,['Comedy']
Zone 39,['Science Fiction']
Arachnophobia,"['Comedy', 'Horror']"
"South Park: Bigger, Longer & Uncut","['Animation', 'Comedy', 'Music']"
Wild Wild West,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']"
Summer of Sam,"['Thriller', 'Drama', 'Crime', 'Romance']"
Les Amants du Pont-Neuf,"['Drama', 'Romance']"
"Late August, Early September","['Drama', 'Foreign']"
American Pie,"['Comedy', 'Romance']"
Arlington Road,"['Drama', 'Thriller', 'Mystery']"
Autumn Tale,"['Drama', 'Romance']"
Muppets from Space,"['Fantasy', 'Comedy', 'Science Fiction', 'Family']"
The Blair Witch Project,"['Horror', 'Mystery']"
My Life So Far,"['Comedy', 'Drama']"
Eyes Wide Shut,"['Mystery', 'Drama']"
Lake Placid,"['Horror', 'Comedy', 'Action', 'Science Fiction', 'Thriller']"
The Wood,"['Comedy', 'Drama', 'Romance']"
The Velocity of Gary,"['Drama', 'Romance']"
Ghostbusters,"['Comedy', 'Fantasy']"
Ghostbusters II,"['Comedy', 'Fantasy']"
Drop Dead Gorgeous,['Comedy']
The Haunting,"['Horror', 'Thriller', 'Fantasy', 'Mystery']"
Inspector Gadget,"['Action', 'Adventure', 'Comedy', 'Family']"
Trick,"['Comedy', 'Romance']"
Deep Blue Sea,"['Action', 'Science Fiction', 'Thriller']"
Mystery Men,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Science Fiction']"
Runaway Bride,"['Comedy', 'Romance']"
The Killing,"['Drama', 'Action', 'Thriller', 'Crime']"
Killer's Kiss,"['Crime', 'Drama', 'Thriller']"
Spartacus,"['Action', 'Drama', 'History']"
Lolita,"['Drama', 'Romance']"
Barry Lyndon,"['Drama', 'Romance', 'War']"
The 400 Blows,['Drama']
Jules and Jim,"['Drama', 'Romance']"
Vibes,"['Romance', 'Action', 'Comedy']"
The Mosquito Coast,"['Adventure', 'Drama']"
The Golden Child,"['Action', 'Adventure', 'Comedy']"
Brighton Beach Memoirs,"['Comedy', 'Drama', 'Romance']"
Assassination,"['Drama', 'Action', 'Thriller']"
Crimes of the Heart,"['Drama', 'Family']"
The Color Purple,['Drama']
The Kindred,"['Horror', 'Science Fiction']"
No Mercy,"['Action', 'Crime', 'Thriller']"
M??nage,"['Crime', 'Drama', 'Comedy']"
Native Son,['Drama']
The Mission,"['Adventure', 'Drama', 'Action', 'History']"
Little Shop of Horrors,"['Horror', 'Comedy', 'Music']"
The Little Shop of Horrors,['Comedy']
Allan Quatermain and the Lost City of Gold,"['Action', 'Adventure', 'Comedy']"
The Morning After,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Radio Days,"['Comedy', 'Drama']"
Outrageous Fortune,"['Action', 'Comedy', 'Mystery']"
The Bedroom Window,"['Crime', 'Thriller', 'Mystery']"
Deadtime Stories,"['Horror', 'Thriller']"
Light of Day,"['Music', 'Drama']"
Wanted: Dead or Alive,"['Action', 'Thriller', 'Crime', 'Drama']"
Frances,['Drama']
Plenty,"['Drama', 'Romance']"
Dick,['Comedy']